epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,average_normalizd_return,train_time,eval_time,epoch_time
0,-0.25860536098480225,-13.05948543548584,1.831608772277832,1.8587183952331543,-0.8982565402984619,0.7590734362602234,13.67841625213623,13.53184700012207,10.685640335083008,1000,2.193920135498047,2.197817325592041,9.719804763793945,9.509411811828613,17.018047332763672,16.724590301513672,3.403609275817871,3.3449180126190186,13.190825462341309,13.000502586364746,12.9923734664917,12.803988456726074,0.0,0.0,247.4896,153.4,0.0822725284028814,21.921887397766113,1.008955717086792,22.930843114852905
1,0.5848329663276672,-25.709260940551758,2.298269748687744,2.1047251224517822,-1.2384121417999268,0.5988377928733826,26.610855102539062,26.43377685546875,23.29777717590332,2000,2.843334436416626,2.8507351875305176,21.501312255859375,21.21498680114746,15.119951248168945,14.686522483825684,3.0239901542663574,2.9373044967651367,26.429861068725586,26.154834747314453,25.973087310791016,25.671613693237305,0.0,0.0,247.4896,153.4,0.0822725284028814,19.765966176986694,1.1205673217773438e-05,19.765977382659912
2,1.3566771745681763,-37.58760070800781,4.137149333953857,4.398246765136719,-1.2134262323379517,0.4778788685798645,38.33051300048828,38.283172607421875,35.11671447753906,3000,3.2822251319885254,3.3816661834716797,32.59819412231445,32.36619186401367,14.341972351074219,14.267997741699219,2.868394374847412,2.8535995483398438,38.5606803894043,38.51253890991211,37.95331573486328,37.85981369018555,0.0,0.0,247.4896,153.4,0.0822725284028814,21.267274379730225,6.4373016357421875e-06,21.26728081703186
3,1.8208218812942505,-49.66202926635742,2.6926960945129395,2.814563751220703,-1.1226158142089844,0.385955810546875,50.28853988647461,50.50459289550781,47.97270965576172,4000,3.544027805328369,3.6322994232177734,44.123538970947266,44.23965072631836,13.712530136108398,13.927750587463379,2.7425060272216797,2.785550117492676,50.59825134277344,50.8381462097168,50.023712158203125,50.21282958984375,0.0,0.0,247.4896,153.4,0.0822725284028814,20.044845819473267,8.106231689453125e-06,20.044853925704956
4,2.106356143951416,-63.16948699951172,2.0389509201049805,2.3066294193267822,-1.0268781185150146,0.3169248104095459,63.79880142211914,63.82398223876953,61.26087951660156,5000,3.611785888671875,3.741727590560913,57.419036865234375,57.30184555053711,12.071847915649414,12.302441596984863,2.414369583129883,2.4604883193969727,64.16606903076172,64.22888946533203,63.41969680786133,63.45798873901367,0.0,0.0,247.4896,153.4,0.0822725284028814,21.763951301574707,6.67572021484375e-06,21.763957977294922
5,2.1197075843811035,-77.31929016113281,2.576467514038086,2.744075298309326,-1.1640732288360596,0.2665026783943176,77.90228271484375,77.69706726074219,75.75042724609375,6000,3.6774919033050537,3.8419008255004883,71.55854797363281,71.09813690185547,12.827072143554688,12.691400527954102,2.5654144287109375,2.5382800102233887,78.37745666503906,78.1897201538086,77.65947723388672,77.36441802978516,0.0,0.0,247.4896,153.4,0.0822725284028814,22.718077182769775,6.4373016357421875e-06,22.71808362007141
6,2.9406166076660156,-87.84828186035156,2.5433530807495117,2.707916736602783,-0.0865306481719017,0.23289741575717926,88.29423522949219,88.48873901367188,85.76043701171875,7000,3.951554775238037,4.045305252075195,81.2676010131836,81.32492065429688,10.438451766967773,10.376321792602539,2.0876903533935547,2.0752644538879395,88.78167724609375,88.98204803466797,87.8655014038086,88.00337219238281,0.0,0.0,247.4896,153.4,0.0822725284028814,21.09352469444275,6.198883056640625e-06,21.093530893325806
7,2.8388986587524414,-97.75426483154297,2.1305599212646484,2.018129825592041,-0.24705028533935547,0.21577763557434082,98.03728485107422,98.15728759765625,96.06529998779297,8000,4.057535171508789,4.198633193969727,91.0233383178711,90.8854751586914,11.21259880065918,10.983497619628906,2.2425198554992676,2.196699619293213,98.64002227783203,98.7265853881836,97.60478210449219,97.61910247802734,0.0,0.0,247.4896,153.4,0.0822725284028814,20.706631660461426,5.9604644775390625e-06,20.706637620925903
8,2.990342617034912,-111.87783813476562,2.618018627166748,2.763641834259033,-0.015044167637825012,0.21060709655284882,112.16973876953125,112.168701171875,110.44181060791016,9000,4.264164924621582,4.3719611167907715,104.8467025756836,104.67729949951172,11.003284454345703,10.850923538208008,2.2006568908691406,2.17018461227417,112.8310546875,112.86700439453125,111.99938201904297,111.97374725341797,0.0,0.0,247.4896,153.4,0.0822725284028814,21.239533185958862,5.9604644775390625e-06,21.23953914642334
9,2.8888700008392334,-120.79414367675781,3.456460475921631,3.367039680480957,-0.17164315283298492,0.21341311931610107,120.95233154296875,121.18560028076172,119.36492919921875,10000,4.46970272064209,4.520395278930664,113.25191497802734,113.5212631225586,11.344381332397461,11.71882152557373,2.268876314163208,2.343764305114746,121.6830062866211,121.95806121826172,120.63094329833984,120.84648895263672,0.0,0.0,24.024403,23.6,0.013610607225267912,19.45315432548523,0.1585233211517334,19.611677646636963
10,2.809767007827759,-133.36154174804688,3.2606759071350098,3.4115514755249023,-0.2900124788284302,0.21772733330726624,133.77047729492188,133.729248046875,131.84255981445312,11000,4.3466267585754395,4.418453216552734,126.26509857177734,126.02850341796875,10.720460891723633,10.299266815185547,2.144092082977295,2.0598533153533936,134.4385986328125,134.2946014404297,133.50775146484375,133.31695556640625,0.0,0.0,24.024403,23.6,0.013610607225267912,21.01664900779724,5.7220458984375e-06,21.01665472984314
11,2.8828020095825195,-138.85049438476562,3.134617328643799,3.4109559059143066,-0.17632661759853363,0.22212402522563934,139.2869110107422,139.35598754882812,137.03219604492188,12000,4.330563545227051,4.444806098937988,131.7014617919922,131.70286560058594,10.575807571411133,11.26378059387207,2.115161418914795,2.252756118774414,139.77001953125,139.8991241455078,138.83824157714844,139.0210418701172,0.0,0.0,24.024403,23.6,0.013610607225267912,19.807445526123047,6.4373016357421875e-06,19.807451963424683
12,2.7102506160736084,-143.88467407226562,4.705288887023926,4.468998908996582,-0.43204617500305176,0.22512412071228027,144.46475219726562,144.35516357421875,144.60665893554688,13000,4.609975337982178,4.675118446350098,136.3829345703125,136.19715881347656,10.380914688110352,10.237320899963379,2.0761828422546387,2.04746413230896,144.99937438964844,144.8792724609375,143.8372039794922,143.6831512451172,0.0,0.0,24.024403,23.6,0.013610607225267912,20.230308771133423,6.198883056640625e-06,20.23031497001648
